id,name,status,physical_verification,source_url,evidence_file,checked_at,osm_last_edit,osm_version,survey_dates,positive_tags,review_flags,opening_hours,website,website_checked,lat,lon,tag_changes,next_action
node/2063493261,Fakultas Ekonomi dan Bisnis,tag_supported,not_verified,https://www.openstreetmap.org/node/2063493261,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-03-15T12:03:21Z,5,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3596138,106.8256942,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/2063493269,Fakultas Ilmu Pengetahuan Budaya,tag_supported,not_verified,https://www.openstreetmap.org/node/2063493269,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-03-15T12:03:21Z,5,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.361182,106.8294626,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/2063528168,Shelter Asrama,tag_supported,not_verified,https://www.openstreetmap.org/node/2063528168,batch-1.json,2026-09-05T10:24:51.878712+00:00,2018-11-19T08:46:48Z,3,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3485275,106.8293467,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/2138698494,Grand Indonesia Amarta Lobby,tag_supported,not_verified,https://www.openstreetmap.org/node/2138698494,batch-1.json,2026-09-05T10:24:51.878712+00:00,2019-12-30T20:32:10Z,4,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.1946036,106.819826,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/2372928209,Universitas Indonesia,tag_supported,not_verified,https://www.openstreetmap.org/node/2372928209,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-06-27T15:22:56Z,11,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3604315,106.831782,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/2409741675,Masjid Jami' Al-Falah Pondok Cibubur,tag_supported,not_verified,https://www.openstreetmap.org/node/2409741675,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-07-06T13:20:52Z,2,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",24/7,,False,-6.3789243,106.8787907,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/2567245926,"Sultan Soffat Asmawi ""Pijat & Urut Tulang""",tag_supported,not_verified,https://www.openstreetmap.org/node/2567245926,batch-1.json,2026-09-05T10:24:51.878712+00:00,2017-08-30T08:34:52Z,4,{},"[""wheelchair=yes"", ""toilets:wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.2385487,106.9058271,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/3009762892,Masjid Ukhuwah Islamiyah,tag_supported,not_verified,https://www.openstreetmap.org/node/3009762892,batch-1.json,2026-09-05T10:24:51.878712+00:00,2023-09-12T16:45:02Z,4,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3658093,106.8311115,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/3415431328,Kebayoran,tag_supported,not_verified,https://www.openstreetmap.org/node/3415431328,batch-1.json,2026-09-05T10:24:51.878712+00:00,2025-06-01T04:53:14Z,12,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.2383774,106.7831893,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/3415431355,Ragunan,tag_supported,not_verified,https://www.openstreetmap.org/node/3415431355,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-06-24T13:55:59Z,12,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3057626,106.8190175,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/3642365882,Agen Resmi Lulur Nature Organic : Ibu Nisa,tag_supported,not_verified,https://www.openstreetmap.org/node/3642365882,batch-1.json,2026-09-05T10:24:51.878712+00:00,2015-07-09T10:54:04Z,1,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,http://www.lulurnatureorganic.net,False,-6.3572953,106.8508568,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/3659598581,Ngobas,tag_supported,not_verified,https://www.openstreetmap.org/node/3659598581,batch-1.json,2026-09-05T10:24:51.878712+00:00,2023-10-15T21:08:38Z,5,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",09:00-21:00,https://ngobas.com/,False,-6.3329511,106.7369118,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/3838522760,Dapur Solo,tag_supported,not_verified,https://www.openstreetmap.org/node/3838522760,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-05-15T16:41:44Z,6,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.188042,106.8234822,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4001927794,Bakmi GM Sunda,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/4001927794,batch-1.json,2026-09-05T10:24:51.878712+00:00,2019-12-30T11:08:07Z,5,{},"[""toilets:wheelchair=yes""]","[""indoor_or_level_requires_entrance_check"", ""no_recorded_accessibility_survey_date""]",,,False,-6.1887788,106.8243119,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4069790363,CFC,tag_supported,not_verified,https://www.openstreetmap.org/node/4069790363,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-05-05T07:52:31Z,2,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3009357,106.8996938,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4146360260,Grand Hyatt Jakarta,tag_supported,not_verified,https://www.openstreetmap.org/node/4146360260,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-08-15T18:26:47Z,10,"{""check_date"": ""2026-08-16""}","[""wheelchair=yes""]",[],,,False,-6.1938028,106.8224472,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4152501731,Mall Citra Gran,tag_supported,not_verified,https://www.openstreetmap.org/node/4152501731,batch-1.json,2026-09-05T10:24:51.878712+00:00,2021-11-27T09:06:35Z,3,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3823404,106.9276507,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4152523896,Mal Ciputra,tag_supported,not_verified,https://www.openstreetmap.org/node/4152523896,batch-1.json,2026-09-05T10:24:51.878712+00:00,2021-11-27T09:11:47Z,3,{},"[""wheelchair=yes"", ""toilets:wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3823382,106.92613,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4243802509,Twin Plaza Hotel,tag_supported,not_verified,https://www.openstreetmap.org/node/4243802509,batch-1.json,2026-09-05T10:24:51.878712+00:00,2019-09-10T09:57:54Z,2,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.1826158,106.7971419,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4243812179,Museum Sejarah Jakarta,tag_supported,not_verified,https://www.openstreetmap.org/node/4243812179,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-06-22T07:38:40Z,11,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",Tu-Su 09:00-15:00,,False,-6.1351548,106.813289,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4245714333,Sheraton Grand Jakarta Gandaria City Hotel,tag_supported,not_verified,https://www.openstreetmap.org/node/4245714333,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-05-04T10:41:48Z,6,"{""check_date"": ""2023-10-11""}","[""wheelchair=yes""]",[],,,False,-6.2452177,106.7830538,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4245907143,Cafe Batavia,tag_supported,not_verified,https://www.openstreetmap.org/node/4245907143,batch-1.json,2026-09-05T10:24:51.878712+00:00,2022-05-18T05:05:23Z,5,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,https://cafebatavia.com/,False,-6.1344159,106.812774,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4261963173,The Harvest,tag_supported,not_verified,https://www.openstreetmap.org/node/4261963173,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-02-06T18:03:33Z,4,{},"[""wheelchair=yes"", ""toilets:wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3882148,106.9428757,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4568283595,South Lobby Plaza indonesia,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/4568283595,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-04-29T22:57:50Z,7,{},"[""wheelchair=yes""]","[""access=customers"", ""no_recorded_accessibility_survey_date""]",,,False,-6.194127,106.8214407,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4616005749,Shelter FEB,tag_supported,not_verified,https://www.openstreetmap.org/node/4616005749,batch-1.json,2026-09-05T10:24:51.878712+00:00,2022-01-27T09:08:59Z,4,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.359361,106.8258301,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4621907250,FamilyMart,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/4621907250,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-06-22T07:38:40Z,25,"{""check_date"": ""2023-11-07""}","[""wheelchair=yes""]","[""indoor_or_level_requires_entrance_check""]",Mo-Su 7:00-22:00,https://familymartindonesia.com/,False,-6.2021466,106.8016477,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4683340409,,tag_supported,not_verified,https://www.openstreetmap.org/node/4683340409,batch-1.json,2026-09-05T10:24:51.878712+00:00,2020-07-15T09:40:08Z,2,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date"", ""unnamed_object""]",,,False,-6.201765,106.8007614,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4683365743,Ranch Market,tag_supported,not_verified,https://www.openstreetmap.org/node/4683365743,batch-1.json,2026-09-05T10:24:51.878712+00:00,2021-11-19T08:02:52Z,2,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.224218,106.8229358,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4696829628,Water Joy,tag_supported,not_verified,https://www.openstreetmap.org/node/4696829628,batch-1.json,2026-09-05T10:24:51.878712+00:00,2025-07-08T16:48:46Z,4,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3929865,106.999478,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/4978747832,KFC,tag_supported,not_verified,https://www.openstreetmap.org/node/4978747832,batch-1.json,2026-09-05T10:24:51.878712+00:00,2021-11-28T11:23:06Z,4,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.1373592,106.8144641,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5008616541,,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/5008616541,batch-1.json,2026-09-05T10:24:51.878712+00:00,2020-04-06T04:25:08Z,3,{},"[""wheelchair=yes""]","[""indoor_or_level_requires_entrance_check"", ""no_recorded_accessibility_survey_date"", ""unnamed_object""]",,,False,-6.2272329,106.8244357,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5033660304,Transmart Carrefour,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/5033660304,batch-1.json,2026-09-05T10:24:51.878712+00:00,2023-11-07T02:06:14Z,8,{},"[""wheelchair=yes""]","[""indoor_or_level_requires_entrance_check"", ""no_recorded_accessibility_survey_date""]",Mo-Su 10:00-22:00,,False,-6.1774596,106.7914774,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5036305391,Jakarta Kota,tag_supported,not_verified,https://www.openstreetmap.org/node/5036305391,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-08-26T00:27:59Z,15,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.1375828,106.8146203,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5134335472,Klinik Anggrek,tag_supported,not_verified,https://www.openstreetmap.org/node/5134335472,batch-1.json,2026-09-05T10:24:51.878712+00:00,2018-12-05T03:47:58Z,3,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",24/7,,False,-6.1589756,106.8703155,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5160469522,Yayasan Ayah Bunda Cintaku,tag_supported,not_verified,https://www.openstreetmap.org/node/5160469522,batch-1.json,2026-09-05T10:24:51.878712+00:00,2017-10-11T09:14:47Z,1,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3116282,106.8173314,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5204703663,,tag_supported,not_verified,https://www.openstreetmap.org/node/5204703663,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-07-11T15:57:11Z,3,{},"[""tactile_paving=yes""]","[""no_recorded_accessibility_survey_date"", ""unnamed_object""]",,,False,-6.2400076,107.0082864,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5214288935,Merica Asian & Western Restaurant,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/5214288935,batch-1.json,2026-09-05T10:24:51.878712+00:00,2023-11-09T00:28:52Z,12,"{""check_date"": ""2023-11-07""}","[""wheelchair=yes""]","[""toilets:access=customers"", ""indoor_or_level_requires_entrance_check""]",Mo-Su 10:00-20:00,,False,-6.2023726,106.8014933,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5275452529,World Food Programme,tag_supported,not_verified,https://www.openstreetmap.org/node/5275452529,batch-1.json,2026-09-05T10:24:51.878712+00:00,2017-12-10T15:45:57Z,2,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",Mo-Fr 09:00-17:00,http://www.wfp.org/countries/indonesia,False,-6.2058491,106.8212849,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5380389141,Starbucks,tag_supported,not_verified,https://www.openstreetmap.org/node/5380389141,batch-1.json,2026-09-05T10:24:51.878712+00:00,2022-04-12T12:24:36Z,5,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.1742387,106.7884592,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5393321444,SOGO,tag_supported,not_verified,https://www.openstreetmap.org/node/5393321444,batch-1.json,2026-09-05T10:24:51.878712+00:00,2022-04-12T12:24:36Z,6,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",Mo-Su 10:00-22:00,,False,-6.1783663,106.7900955,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5407234844,Alfamart,tag_supported,not_verified,https://www.openstreetmap.org/node/5407234844,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-03-31T17:13:47Z,8,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,https://alfamart.co.id,False,-6.1751202,106.7882689,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5430903023,,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/5430903023,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-05-04T11:11:49Z,7,{},"[""wheelchair=yes""]","[""indoor_or_level_requires_entrance_check"", ""no_recorded_accessibility_survey_date"", ""unnamed_object""]",24/7,,False,-6.2023205,106.8016942,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5483044090,Bengawan Solo,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/5483044090,batch-1.json,2026-09-05T10:24:51.878712+00:00,2018-03-16T16:39:39Z,1,{},"[""wheelchair=yes""]","[""indoor_or_level_requires_entrance_check"", ""no_recorded_accessibility_survey_date""]",,,False,-6.2652691,106.8853836,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5507749901,Es Teler 77,tag_supported,not_verified,https://www.openstreetmap.org/node/5507749901,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-06-22T07:38:40Z,10,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",Mo-Su 09:00-21:00,,False,-6.1930376,106.8038576,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5507749905,Roti'O,tag_supported,not_verified,https://www.openstreetmap.org/node/5507749905,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-02-09T04:12:52Z,7,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",Mo-Su 10:00-21:00,,False,-6.1927676,106.8037369,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5713318139,,tag_supported,not_verified,https://www.openstreetmap.org/node/5713318139,batch-1.json,2026-09-05T10:24:51.878712+00:00,2021-11-27T06:02:30Z,4,{},"[""wheelchair=yes"", ""toilets:wheelchair=yes""]","[""no_recorded_accessibility_survey_date"", ""unnamed_object""]",,,False,-6.3994805,106.9755533,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5748466620,Hotel Ciputra Cibubur,tag_supported,not_verified,https://www.openstreetmap.org/node/5748466620,batch-1.json,2026-09-05T10:24:51.878712+00:00,2021-11-27T08:58:23Z,3,{},"[""wheelchair=yes"", ""toilets:wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3827765,106.92579,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5793702358,The Coffee Bean & Tea Leaf,tag_supported,not_verified,https://www.openstreetmap.org/node/5793702358,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-01-29T14:18:33Z,4,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",Mo-Fr 08:00-21:30; Sa-Su 08:00-19:30,,False,-6.1663337,106.7852894,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5806857453,Bank Mandiri,tag_supported,not_verified,https://www.openstreetmap.org/node/5806857453,batch-1.json,2026-09-05T10:24:51.878712+00:00,2021-10-25T05:44:16Z,3,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",24/7,,False,-6.2016499,106.8007132,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5830902685,Alfamart,tag_supported,not_verified,https://www.openstreetmap.org/node/5830902685,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-03-31T17:13:49Z,13,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,https://alfamart.co.id,False,-6.1742296,106.7881061,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5830902686,Bakmi Bintang Gading & Bougenville Resto,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/5830902686,batch-1.json,2026-09-05T10:24:51.878712+00:00,2022-04-12T12:24:36Z,13,{},"[""wheelchair=yes""]","[""toilets:access=customers"", ""no_recorded_accessibility_survey_date""]",,,False,-6.1742307,106.7881714,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5830902688,H&M,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/5830902688,batch-1.json,2026-09-05T10:24:51.878712+00:00,2023-12-07T12:54:54Z,6,{},"[""wheelchair=yes""]","[""indoor_or_level_requires_entrance_check"", ""no_recorded_accessibility_survey_date""]",Mo-Su 10:00-22:00,,False,-6.1761904,106.791324,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5851233287,BCA,tag_supported,not_verified,https://www.openstreetmap.org/node/5851233287,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-05-04T11:11:49Z,6,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",24/7,,False,-6.2027109,106.8010177,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5855880085,Bakso Atom Express RS Pelni,tag_supported,not_verified,https://www.openstreetmap.org/node/5855880085,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-02-09T04:11:54Z,8,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.1931291,106.803974,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/5861166810,Bank Mandiri,tag_supported,not_verified,https://www.openstreetmap.org/node/5861166810,batch-1.json,2026-09-05T10:24:51.878712+00:00,2022-10-21T08:25:26Z,4,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.2027213,106.8009902,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
